timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 06:09:13,01:09:13,"Bitcoin Up or Down - March 6, 1:05AM-1:10AM ET",buy,Down,0.77,0.95,4.68,tp,170.0,61.5,82.2,7888.0,2306.0,1419.0,5.56,0.01,77,70414.28,70356.91,70336.25,78.03,0.01,0.01,False,Down,resolved-win,False,0.34,0.95
2026-03-06 06:20:02,01:20:02,"Bitcoin Up or Down - March 6, 1:15AM-1:20AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70314.53,0.0,70383.44,68.91,0.0165,0.12,True,Down,tp,True,0.89,0.67
2026-03-06 06:23:38,01:23:38,"Bitcoin Up or Down - March 6, 1:20AM-1:25AM ET",buy,Up,0.73,0.95,6.03,tp,164.0,61.6,61.6,5994.0,172.0,763.0,7.86,0.03,73,70383.44,70482.11,70503.41,119.97,0.0119,0.03,False,Down,tp,False,0.95,0.33
2026-03-06 06:28:47,01:28:47,"Bitcoin Up or Down - March 6, 1:25AM-1:30AM ET",buy,Down,0.72,0.96,6.67,tp,124.0,61.5,102.8,6992.0,309.0,1585.0,4.41,0.01,72,70517.84,70479.54,70439.48,78.36,0.0118,0.03,False,Up,tp,False,0.36,0.96
2026-03-06 06:34:59,01:34:59,"Bitcoin Up or Down - March 6, 1:30AM-1:35AM ET",buy,Down,0.8,1.0,5.0,resolved-win,156.0,113.2,133.8,7209.0,696.0,960.0,7.51,0.01,79,70425.91,70394.67,70392.24,33.67,0.0129,0.03,False,Down,tp,False,0.55,0.92
2026-03-06 06:38:25,01:38:25,"Bitcoin Up or Down - March 6, 1:35AM-1:40AM ET",buy,Up,0.71,0.96,7.04,tp,136.0,61.7,154.5,4062.0,90.0,1152.0,3.53,0.01,71,70399.34,70476.09,70507.94,108.6,0.018,0.08,False,Down,resolved-win,False,0.96,0.55
2026-03-06 06:45:06,01:45:06,"Bitcoin Up or Down - March 6, 1:40AM-1:45AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70513.04,0.0,70662.88,149.84,0.007,0.01,False,Up,tp,True,0.99,0.62
2026-03-06 06:50:05,01:50:05,"Bitcoin Up or Down - March 6, 1:45AM-1:50AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70662.88,0.0,70730.25,67.37,0.0099,0.04,False,Up,tp,True,1.0,0.62
2026-03-06 06:55:04,01:55:04,"Bitcoin Up or Down - March 6, 1:50AM-1:55AM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70730.25,0.0,70619.74,110.51,0.007,0.01,False,Up,tp,False,0.3,0.99
2026-03-06 07:00:03,02:00:03,"Bitcoin Up or Down - March 6, 1:55AM-2:00AM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70619.74,0.0,70613.13,6.61,0.0139,0.05,False,Up,tp,False,0.77,0.47
